,LST,NDVI
31,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.10.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.10.tiff
32,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.22.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.22.tiff
33,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.23.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.23.tiff
34,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.24.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.24.tiff
35,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.25.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.25.tiff
36,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.26.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.26.tiff
37,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.29.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.29.tiff
38,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.43.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.43.tiff
39,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.44.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.44.tiff
40,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.62.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.62.tiff
41,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017029.h18v04.061.2021258212222.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017029.h18v04.061.2021258211739.298.tiff
42,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017039.h18v04.061.2021265051527.16.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017039.h18v04.061.2021265051238.16.tiff
43,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017039.h18v04.061.2021265051527.54.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017039.h18v04.061.2021265051238.54.tiff
44,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017041.h18v04.061.2021266010030.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017041.h18v04.061.2021266005735.47.tiff
45,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.134.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.134.tiff
46,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.137.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.137.tiff
47,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.210.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.210.tiff
48,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.229.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.229.tiff
49,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.230.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.230.tiff
50,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017045.h18v04.061.2021266054834.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017045.h18v04.061.2021266054407.298.tiff
51,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.7.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.7.tiff
52,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.8.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.8.tiff
53,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.10.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.10.tiff
54,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.13.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.13.tiff
55,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.25.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.25.tiff
56,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.26.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.26.tiff
57,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.42.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.42.tiff
58,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.45.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.45.tiff
59,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017047.h18v04.061.2021266084125.297.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017047.h18v04.061.2021266083653.297.tiff
60,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017047.h18v04.061.2021266084125.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017047.h18v04.061.2021266083653.298.tiff
61,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017047.h18v04.061.2021266084125.317.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017047.h18v04.061.2021266083653.317.tiff
62,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017048.h18v04.061.2021266095124.13.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017048.h18v04.061.2021266094824.13.tiff
63,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017048.h18v04.061.2021266095124.32.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017048.h18v04.061.2021266094824.32.tiff
64,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017048.h18v04.061.2021266095124.50.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017048.h18v04.061.2021266094824.50.tiff
65,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017048.h18v04.061.2021266095124.51.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017048.h18v04.061.2021266094824.51.tiff
66,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017050.h18v04.061.2021266124218.103.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017050.h18v04.061.2021266123741.103.tiff
67,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017050.h18v04.061.2021266124218.116.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017050.h18v04.061.2021266123741.116.tiff
68,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017050.h18v04.061.2021266124218.123.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017050.h18v04.061.2021266123741.123.tiff
69,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017053.h18v04.061.2021266155358.13.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017053.h18v04.061.2021266155102.13.tiff
70,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017056.h18v04.061.2021266203613.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017056.h18v04.061.2021266203132.46.tiff
71,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017057.h18v04.061.2021266212645.145.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017057.h18v04.061.2021266212205.145.tiff
72,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017060.h18v04.061.2021266232336.238.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017060.h18v04.061.2021266232041.238.tiff
73,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017063.h18v04.061.2021267021628.324.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017063.h18v04.061.2021267021342.324.tiff
74,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017063.h18v04.061.2021267021628.325.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017063.h18v04.061.2021267021342.325.tiff
75,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017067.h18v04.061.2021267064128.294.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017067.h18v04.061.2021267063819.294.tiff
76,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017068.h18v04.061.2021267074450.218.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017068.h18v04.061.2021267074012.218.tiff
77,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017068.h18v04.061.2021267074450.238.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017068.h18v04.061.2021267074012.238.tiff
78,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017068.h18v04.061.2021267074450.257.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017068.h18v04.061.2021267074012.257.tiff
79,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017068.h18v04.061.2021267074450.276.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017068.h18v04.061.2021267074012.276.tiff
80,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017068.h18v04.061.2021267074450.296.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017068.h18v04.061.2021267074012.296.tiff
81,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.9.tiff
82,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.10.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.10.tiff
83,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.11.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.11.tiff
84,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.12.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.12.tiff
85,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.13.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.13.tiff
86,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017069.h18v04.061.2021267083808.16.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017069.h18v04.061.2021267083452.16.tiff
87,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017070.h18v04.061.2021267094323.29.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017070.h18v04.061.2021267094021.29.tiff
88,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017070.h18v04.061.2021267094323.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017070.h18v04.061.2021267094021.47.tiff
89,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017070.h18v04.061.2021267094323.238.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017070.h18v04.061.2021267094021.238.tiff
90,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017070.h18v04.061.2021267094323.257.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017070.h18v04.061.2021267094021.257.tiff
91,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017070.h18v04.061.2021267094323.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017070.h18v04.061.2021267094021.298.tiff
92,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017073.h18v04.061.2021268050454.122.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017073.h18v04.061.2021268050149.122.tiff
93,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017073.h18v04.061.2021268050454.145.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017073.h18v04.061.2021268050149.145.tiff
94,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017074.h18v04.061.2021268085154.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017074.h18v04.061.2021268084850.47.tiff
95,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.28.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.28.tiff
96,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.29.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.29.tiff
97,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.46.tiff
98,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.47.tiff
99,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.48.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.48.tiff
100,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.49.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.49.tiff
101,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.65.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.65.tiff
102,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.68.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.68.tiff
103,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.69.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.69.tiff
104,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.84.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.84.tiff
105,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.86.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.86.tiff
106,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.101.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.101.tiff
107,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.102.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.102.tiff
108,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.103.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.103.tiff
109,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.115.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.115.tiff
110,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.134.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.134.tiff
111,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.153.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.153.tiff
112,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.174.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.174.tiff
113,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.213.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017075.h18v04.061.2021268052051.213.tiff
114,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017078.h18v04.061.2021268095936.17.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017078.h18v04.061.2021268095631.17.tiff
115,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017078.h18v04.061.2021268095936.35.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017078.h18v04.061.2021268095631.35.tiff
116,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017078.h18v04.061.2021268095936.54.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017078.h18v04.061.2021268095631.54.tiff
117,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.4.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.4.tiff
118,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.21.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.21.tiff
119,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.22.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.22.tiff
120,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.23.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.23.tiff
121,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.137.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.137.tiff
122,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.138.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.138.tiff
123,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.212.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.212.tiff
124,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.231.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.231.tiff
125,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017084.h18v04.061.2021268141341.250.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017084.h18v04.061.2021268141044.250.tiff
126,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017085.h18v04.061.2021268151244.8.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017085.h18v04.061.2021268150940.8.tiff
127,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017085.h18v04.061.2021268151244.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017085.h18v04.061.2021268150940.9.tiff
128,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017085.h18v04.061.2021268151244.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017085.h18v04.061.2021268150940.46.tiff
129,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.27.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017086.h18v04.061.2021268161614.27.tiff
130,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017086.h18v04.061.2021268161614.46.tiff
131,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.102.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017086.h18v04.061.2021268161614.102.tiff
132,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.103.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017086.h18v04.061.2021268161614.103.tiff
133,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.115.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017086.h18v04.061.2021268161614.115.tiff
