,IMG,time,split
25,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019256.h18v04.061.2020308200630.48.tiff,NDVI,Train
26,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017215.h18v04.061.2021278135554.292.tiff,NDVI,Val
27,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018176.h18v04.061.2021335013109.9.tiff,D,Train
28,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017159.h18v04.061.2021273141337.141.tiff,NDVI,Train
29,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017264.h18v04.061.2021284024128.257.tiff,D,Train
30,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017241.h18v04.061.2021280201224.119.tiff,NDVI,Train
31,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019258.h18v04.061.2020309005005.307.tiff,D,Val
32,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019168.h18v04.061.2020298143928.10.tiff,NDVI,Train
33,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018107.h18v04.061.2021324022620.47.tiff,D,Val
34,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018127.h18v04.061.2021328063239.173.tiff,NDVI,Train
35,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019237.h18v04.061.2020306103428.158.tiff,D,Val
36,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018207.h18v04.061.2021337210006.32.tiff,D,Val
37,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018279.h18v04.061.2021342044713.66.tiff,NDVI,Train
38,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017290.h18v04.061.2021286103644.102.tiff,D,Train
39,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019237.h18v04.061.2020306103030.41.tiff,NDVI,Train
40,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019243.h18v04.061.2020307022004.289.tiff,NDVI,Train
41,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017187.h18v04.061.2021276041636.230.tiff,NDVI,Val
42,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019246.h18v04.061.2020307104933.6.tiff,D,Val
43,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019234.h18v04.061.2020306040038.100.tiff,D,Train
44,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019242.h18v04.061.2020306212406.64.tiff,NDVI,Train
45,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018238.h18v04.061.2021339224906.15.tiff,NDVI,Train
46,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018178.h18v04.061.2021335040703.101.tiff,D,Train
47,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018053.h18v04.061.2021317155608.28.tiff,D,Train
48,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019153.h18v04.061.2020297222500.294.tiff,NDVI,Train
49,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018199.h18v04.061.2021337063550.276.tiff,D,Val
50,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.43.tiff,D,Val
51,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.67.tiff,D,Val
52,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018255.h18v04.061.2021341144201.257.tiff,NDVI,Train
53,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018240.h18v04.061.2021339233633.296.tiff,NDVI,Train
54,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017187.h18v04.061.2021276041944.230.tiff,D,Val
55,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017233.h18v04.061.2021280143535.103.tiff,NDVI,Train
56,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018214.h18v04.061.2021338235914.144.tiff,D,Train
57,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017169.h18v04.061.2021274115604.103.tiff,NDVI,Train
58,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018295.h18v04.061.2021343223617.231.tiff,D,Train
59,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018247.h18v04.061.2021340110528.13.tiff,NDVI,Train
60,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017168.h18v04.061.2021274110608.51.tiff,NDVI,Val
61,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019205.h18v04.061.2020304014324.118.tiff,NDVI,Train
62,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018199.h18v04.061.2021337063550.338.tiff,D,Val
63,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019236.h18v04.061.2020306080909.103.tiff,NDVI,Val
64,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.324.tiff,D,Train
65,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017234.h18v04.061.2021280145832.14.tiff,NDVI,Val
66,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017242.h18v04.061.2021280203913.290.tiff,D,Val
67,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019180.h18v04.061.2020299030153.27.tiff,D,Train
68,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019228.h18v04.061.2020305063937.15.tiff,NDVI,Train
69,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.25.tiff,D,Val
70,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017102.h18v04.061.2021270014820.105.tiff,D,Val
71,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018177.h18v04.061.2021335030514.13.tiff,NDVI,Train
72,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.174.tiff,D,Train
73,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018178.h18v04.061.2021335040703.4.tiff,D,Train
74,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018235.h18v04.061.2021339213042.121.tiff,D,Val
75,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.139.tiff,D,Train
76,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019259.h18v04.061.2020309034625.28.tiff,NDVI,Train
77,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019079.h18v04.061.2020289191654.47.tiff,NDVI,Val
78,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018176.h18v04.061.2021335013109.13.tiff,D,Val
79,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018190.h18v04.061.2021335164937.106.tiff,NDVI,Train
80,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019191.h18v04.061.2020303084615.103.tiff,D,Train
81,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018270.h18v04.061.2021343165200.176.tiff,D,Val
82,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019256.h18v04.061.2020308201151.158.tiff,D,Train
83,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.96.tiff,NDVI,Val
84,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019086.h18v04.061.2020291040103.88.tiff,NDVI,Val
85,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019179.h18v04.061.2020299015509.125.tiff,NDVI,Train
86,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019185.h18v04.061.2020302073910.232.tiff,D,Val
87,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018215.h18v04.061.2021339002637.60.tiff,D,Train
88,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019047.h18v04.061.2020287162635.102.tiff,NDVI,Val
89,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017186.h18v04.061.2021276030852.86.tiff,NDVI,Val
90,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019237.h18v04.061.2020306103428.17.tiff,D,Val
91,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017170.h18v04.061.2021274122039.63.tiff,NDVI,Train
92,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017144.h18v04.061.2021272221614.32.tiff,D,Val
93,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018212.h18v04.061.2021338223156.277.tiff,NDVI,Val
94,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017146.h18v04.061.2021273001741.194.tiff,D,Train
95,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017235.h18v04.061.2021280152424.117.tiff,NDVI,Train
96,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019260.h18v04.061.2020309064007.8.tiff,D,Train
97,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017240.h18v04.061.2021280192743.98.tiff,D,Train
98,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018215.h18v04.061.2021339002637.28.tiff,D,Train
99,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018181.h18v04.061.2021335060447.29.tiff,NDVI,Val
100,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017170.h18v04.061.2021274122342.63.tiff,D,Train
101,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019181.h18v04.061.2020299031952.278.tiff,NDVI,Train
102,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017304.h18v04.061.2021288101400.82.tiff,D,Train
103,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019205.h18v04.061.2020304014324.115.tiff,NDVI,Val
104,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019178.h18v04.061.2020299011833.142.tiff,D,Train
105,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017196.h18v04.061.2021277141129.46.tiff,NDVI,Val
106,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017322.h18v04.061.2021290062152.29.tiff,NDVI,Train
107,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018181.h18v04.061.2021335061004.173.tiff,D,Val
108,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019223.h18v04.061.2020304150630.277.tiff,NDVI,Train
109,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018213.h18v04.061.2021338232524.286.tiff,D,Val
110,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019262.h18v04.061.2020309115203.84.tiff,D,Train
111,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019151.h18v04.061.2020296001617.70.tiff,NDVI,Train
112,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017233.h18v04.061.2021280143535.53.tiff,NDVI,Train
113,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017145.h18v04.061.2021272225627.46.tiff,D,Train
114,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017200.h18v04.061.2021277163426.173.tiff,NDVI,Train
115,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019058.h18v04.061.2020288143124.218.tiff,D,Train
116,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017170.h18v04.061.2021274122039.66.tiff,NDVI,Train
117,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019217.h18v04.061.2020304111130.336.tiff,D,Train
118,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017145.h18v04.061.2021272225209.69.tiff,NDVI,Train
119,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017241.h18v04.061.2021280201714.68.tiff,D,Val
120,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017230.h18v04.061.2021280130727.294.tiff,NDVI,Train
121,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017187.h18v04.061.2021276041636.87.tiff,NDVI,Train
122,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019185.h18v04.061.2020302071201.154.tiff,NDVI,Val
123,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017184.h18v04.061.2021276003555.16.tiff,NDVI,Train
124,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018217.h18v04.061.2021339013810.83.tiff,D,Val
125,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019193.h18v04.061.2020303114636.16.tiff,D,Val
126,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018200.h18v04.061.2021337070116.317.tiff,NDVI,Val
127,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018266.h18v04.061.2021341194822.31.tiff,D,Val
128,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018270.h18v04.061.2021343165200.6.tiff,D,Train
129,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019236.h18v04.061.2020306081506.98.tiff,D,Train
130,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017146.h18v04.061.2021273001227.96.tiff,NDVI,Train
131,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018224.h18v04.061.2021339160116.142.tiff,D,Val
132,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018270.h18v04.061.2021343164807.137.tiff,NDVI,Train
133,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019215.h18v04.061.2020304093159.106.tiff,NDVI,Train
134,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018215.h18v04.061.2021339002637.100.tiff,D,Train
135,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019250.h18v04.061.2020308021216.35.tiff,D,Val
136,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017188.h18v04.061.2021276052402.106.tiff,NDVI,Train
137,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018177.h18v04.061.2021335030514.30.tiff,NDVI,Train
138,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019326.h18v04.061.2020318102405.43.tiff,D,Val
139,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017169.h18v04.061.2021274115917.67.tiff,D,Val
140,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017234.h18v04.061.2021280145832.67.tiff,NDVI,Val
141,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.121.tiff,D,Val
142,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018277.h18v04.061.2021341233734.164.tiff,NDVI,Train
143,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019181.h18v04.061.2020299031952.296.tiff,NDVI,Val
144,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017169.h18v04.061.2021274115604.86.tiff,NDVI,Train
145,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018196.h18v04.061.2021337051135.145.tiff,D,Val
146,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019243.h18v04.061.2020307024649.122.tiff,D,Val
147,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.192.tiff,NDVI,Val
148,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.46.tiff,D,Train
149,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017173.h18v04.061.2021274150146.48.tiff,D,Train
150,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.29.tiff,D,Val
151,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018214.h18v04.061.2021338235914.45.tiff,D,Train
152,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018183.h18v04.061.2021335071826.156.tiff,NDVI,Val
153,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018208.h18v04.061.2021338185509.63.tiff,D,Train
154,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017110.h18v04.061.2021270202244.88.tiff,D,Val
155,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017226.h18v04.061.2021280032359.17.tiff,NDVI,Train
156,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019181.h18v04.061.2020299031952.154.tiff,NDVI,Train
157,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019247.h18v04.061.2020307122322.51.tiff,NDVI,Train
158,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018227.h18v04.061.2021339174855.67.tiff,D,Train
159,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017144.h18v04.061.2021272221614.31.tiff,D,Val
160,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017075.h18v04.061.2021268052409.69.tiff,D,Train
161,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.270.tiff,D,Val
162,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018108.h18v04.061.2021324031521.30.tiff,D,Val
163,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019235.h18v04.061.2020306054219.47.tiff,NDVI,Train
164,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019156.h18v04.061.2020298023908.250.tiff,D,Train
165,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018231.h18v04.061.2021339195309.47.tiff,NDVI,Train
166,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.306.tiff,NDVI,Train
167,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.11.tiff,NDVI,Train
168,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018128.h18v04.061.2021329023452.42.tiff,NDVI,Val
169,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018234.h18v04.061.2021339210614.232.tiff,NDVI,Train
170,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019262.h18v04.061.2020309115203.27.tiff,D,Train
171,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019083.h18v04.061.2020291012219.337.tiff,D,Val
172,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017233.h18v04.061.2021280143535.125.tiff,NDVI,Train
173,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019205.h18v04.061.2020304014324.51.tiff,NDVI,Train
174,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019178.h18v04.061.2020299011833.85.tiff,D,Val
175,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017234.h18v04.061.2021280150139.43.tiff,D,Val
176,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018293.h18v04.061.2021343213450.67.tiff,D,Val
177,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019210.h18v04.061.2020304061132.144.tiff,D,Train
178,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019197.h18v04.061.2020303165145.69.tiff,D,Train
179,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019237.h18v04.061.2020306103030.145.tiff,NDVI,Val
180,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017233.h18v04.061.2021280143845.49.tiff,D,Train
181,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018189.h18v04.061.2021335134407.121.tiff,D,Train
182,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019206.h18v04.061.2020304023219.54.tiff,NDVI,Train
183,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019054.h18v04.061.2020288113732.121.tiff,D,Train
184,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017214.h18v04.061.2021278132954.68.tiff,NDVI,Train
185,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019134.h18v04.061.2020294011041.48.tiff,NDVI,Train
186,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018241.h18v04.061.2021340000115.326.tiff,NDVI,Train
187,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017241.h18v04.061.2021280201224.139.tiff,NDVI,Val
188,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019177.h18v04.061.2020298233438.25.tiff,NDVI,Train
189,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019083.h18v04.061.2020291012219.28.tiff,D,Train
190,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019259.h18v04.061.2020309035110.125.tiff,D,Val
191,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018178.h18v04.061.2021335040332.77.tiff,NDVI,Val
192,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018182.h18v04.061.2021335063652.278.tiff,D,Val
193,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018253.h18v04.061.2021341134713.104.tiff,D,Val
194,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019135.h18v04.061.2020294020138.65.tiff,NDVI,Val
195,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017169.h18v04.061.2021274115917.49.tiff,D,Val
196,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019183.h18v04.061.2020299054141.137.tiff,D,Train
197,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017110.h18v04.061.2021270201934.51.tiff,NDVI,Val
198,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018229.h18v04.061.2021339185142.270.tiff,NDVI,Train
199,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017233.h18v04.061.2021280143535.48.tiff,NDVI,Train
200,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018119.h18v04.061.2021327212530.250.tiff,NDVI,Val
201,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018264.h18v04.061.2021341185404.278.tiff,NDVI,Val
202,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019237.h18v04.061.2020306103428.62.tiff,D,Val
203,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019189.h18v04.061.2020303051542.26.tiff,NDVI,Train
204,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017046.h18v04.061.2021266065657.45.tiff,D,Train
205,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019081.h18v04.061.2020290211711.47.tiff,NDVI,Val
206,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019204.h18v04.061.2020304002057.22.tiff,NDVI,Val
207,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017219.h18v04.061.2021278155941.103.tiff,D,Train
208,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017202.h18v04.061.2021277175508.270.tiff,NDVI,Val
209,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017194.h18v04.061.2021277115219.154.tiff,D,Train
210,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018178.h18v04.061.2021335040703.65.tiff,D,Val
211,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019206.h18v04.061.2020304024249.139.tiff,D,Train
212,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017170.h18v04.061.2021274122039.65.tiff,NDVI,Train
213,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019080.h18v04.061.2020290195057.86.tiff,D,Val
214,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019178.h18v04.061.2020299004017.12.tiff,NDVI,Train
215,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019289.h18v04.061.2020314051526.140.tiff,NDVI,Val
216,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018124.h18v04.061.2021328035233.64.tiff,D,Val
217,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017162.h18v04.061.2021274065207.297.tiff,D,Val
218,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017188.h18v04.061.2021276052402.163.tiff,NDVI,Val
219,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018254.h18v04.061.2021341141546.140.tiff,D,Val
220,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019185.h18v04.061.2020302071201.248.tiff,NDVI,Train
221,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018270.h18v04.061.2021343165200.83.tiff,D,Val
222,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019247.h18v04.061.2020307122322.88.tiff,NDVI,Train
223,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.83.tiff,NDVI,Train
224,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018218.h18v04.061.2021339021345.154.tiff,D,Train
225,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017183.h18v04.061.2021276000124.35.tiff,D,Val
226,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019204.h18v04.061.2020304002057.286.tiff,NDVI,Train
227,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019210.h18v04.061.2020304060523.106.tiff,NDVI,Train
228,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018109.h18v04.061.2021324035629.86.tiff,D,Train
229,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017098.h18v04.061.2021269214942.153.tiff,D,Train
230,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018271.h18v04.061.2021341212928.278.tiff,NDVI,Train
231,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017098.h18v04.061.2021269214942.104.tiff,D,Val
232,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019206.h18v04.061.2020304023219.7.tiff,NDVI,Train
233,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017046.h18v04.061.2021266065350.26.tiff,NDVI,Train
234,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019264.h18v04.061.2020310094529.193.tiff,D,Val
